Null; """Nikolaj: \""hi\""\nSusanne: \""hey\""\nNikolaj: \""wanna have a beer\?\""\nSusanne: \""sure!\""\n"""
drink alcohol; 
dance; """Nikolaj: \""wanna dance\?\""\nSusanne: \""I don\'t really know how to dance.\""\nNikolaj: \""just follow me\""\nSusanne: \""Okay.\""\n"""
drink water; 
Null; """\nPeter: \""go to the toilet\""\nLisa: \""alright\""\n"""
Null; 
Null; 
Null; 
Null; 
dance; """Nikolaj: \""hi\""\nEmily: \""hey there\""\nNikolaj: \""wanna dance\?\""\nEmily: \""sure!\""\n"""
Null; 
drink alcohol; 
talk; 
dance; 
dance; """Nikolaj: \""wanna dance\?\""\nSamantha: \""I don\'t really know how..\""\nNikolaj: \""just follow me\""\nSamantha: \""alright\""\n"""
dance; 
drink water; 
Null; 
drink alcohol; """Clair: \""hi\""\nEmily: \""hey\""\nClair: \""wanna drink\?\""\nEmily: \""sure\""\n"""
dance; 
Null; 
drink alcohol; 
Null; """Clair: \""wanna drink\?\""\nEmily: \""sure\""\nClair: \""have a shot with me\""\nEmily: \""alright\""\n"""
Null; 
drink alcohol; 
Null; 
dance; 
eat; 
drink alcohol; 
leave; 
leave; 
Null; 
drink water; 
drink water; 
Null; 
drink alcohol; 
dance; 
dance; 
drink alcohol; 
drink alcohol; 
drink alcohol; 
drink water; 
talk; 
dance; """Nikolaj: \""dance with me\""\nLisa: \""I don\'t really know how.\""\nNikolaj: \""just follow me\""\nLisa: \""okay.\""\n"""
dance; 
leave; 
Null; 
leave; 
Null; 
drink alcohol; 
drink alcohol; 
talk; 
Null; 
Null; 
dance; 
Null; 
drink water; 
Null; 
drink water; 
Null; """Nikolaj: \""öasldkfj öasldkf j\""\nEmily: \""No! I want vodka!\""\nNikolaj: \""öasdlkfj aösldkf j\""\nEmily: \""No! I want vodka!\""\n"""
dance; 
Null; 
eat; 
drink alcohol; 
dance; 
eat; 
dance; 
Null; 
Null; 
talk; """Nikolaj: \""df öaslkdfj \""\nEmily: \""fuck you too\""\nNikolaj: \""ösadlkfj \""\nEmily: \""fuck you\""\n"""
Null; 
dance; 
Null; """Nikolaj: \""then get the fuck out...\""\nEmily: \""...\""\nNikolaj: \""bye\""\nEmily: \""...\""\n"""
Null; 
drink water; 
talk; 
drink water; 
dance; 
talk; 
Null; """Nikolaj: \""I bet you like beer\""\nMartin: \""I do.\""\nNikolaj: \""then let\'s have some\""\nMartin: \""I don\'t want to drink beer.\""\n"""
talk; 
drink water; 
dance; 
Null; 
dance; 
Null; 
dance; """\nNikolaj: \""wanna eat\?\""\nEmily: \""sure\""\n"""
Null; """Nikolaj: \""eat more\?\""\nEmily: \""I\'m not really that hungry\""\nNikolaj: \""drink water now!!\""\nEmily: \""okay\""\n"""
drink water; 
leave; """Nikolaj: \""just for me\""\nSusanne: \""I don\'t really feel like it.\""\nNikolaj: \""what\'s your favorite movie\""\nSusanne: \""I don\'t really know.\""\n"""
dance; 
drink alcohol; 
Null; 
talk; 
Null; """Nikolaj: \""just a beer at least\""\nEmily: \""I don\'t really like beer either.\""\nNikolaj: \""ok\""\nEmily: \""I\'ll just have some water.\""\n"""
Null; 
Null; 
dance; 
drink water; """Nikolaj: \""dance with me now!\""\nSteven: \""I don\'t really feel like it\""\nNikolaj: \""but look at all the hot chicks dancing...\""\nSteven: \""I don\'t really care\""\n"""
Null; 
talk; 
dance; 
drink water; 
drink alcohol; 
Null; 
Null; 
eat; 
eat; 
talk; 
drink alcohol; 
dance; 
drink water; 
talk; 
dance; 
dance; 
Null; 
Null; 
Null; 
drink alcohol; 
Null; 
leave; 
Null; """Nikolaj: \""please\""\nEmily: \""I don\'t really feel like it..\""\nNikolaj: \""fuck you\""\nEmily: \""fuck you too\""\n"""
talk; 
drink water; """Nikolaj: \""you should drink some water\""\nEmily: \""I am thirsty\""\nNikolaj: \""here you go\""\nEmily: \""thank you\""\n"""
Null; 
Null; 
pee; 
